COMID,AREA,Year,P10,P50,P90,MEAN,P10_Q,P50_Q,P90_Q,Estimated.Q,Month
7915025,9.5004,1962,0.0666666666666667,0.260580204778157,0.857851590252605,0.429486411112426,0.63336,2.4756161774744,8.14993324803585,4.08029270013249,6
7915025,9.5004,1962,0.0172726571196479,0.0813674472390864,0.304444343024209,0.185322179404587,0.164097151699503,0.773023295750216,2.8923430364672,1.76063483321534,7
7915025,9.5004,1962,0.0129568273092369,0.045601828951473,0.117777777777778,0.0566890820986822,0.123095042168675,0.433235615770574,1.118936,0.53856895557032,8
7915025,9.5004,1962,0.0158634538152611,0.049873417721519,0.132537198611502,0.0645331523176382,0.150709156626506,0.473817417721519,1.25915640168871,0.61309076027849,9
7915025,9.5004,1962,0.158570226701441,0.282081911262799,0.722145857255353,0.367541869602871,1.50648058175437,2.67989098976109,6.86067450226876,3.49179477797512,10
7915025,9.5004,1962,0.109060955518946,0.194274567581016,0.354123043333845,0.214903505352629,1.03612270181219,1.84568610184668,3.36431056088886,2.04166926225212,11
7915025,9.5004,1962,0.113418436476671,0.277493495229835,0.425751370632008,0.290831414079947,1.07752051390297,2.63629920208153,4.04480832155233,2.76301476632513,12
7915025,9.5004,1963,0.103624404489787,0.179944548854914,0.565124944697816,0.255946271134985,0.984473292414772,1.70954519194123,5.36891302460713,2.43159195429081,1
7915025,9.5004,1963,0.167208399980796,0.508346704257199,0.872998074913502,0.519140941555325,1.58854668317756,4.8294970291251,8.29383091090824,4.93204660115221,2
7915025,9.5004,1963,0.181820219798553,0.30421686746988,0.452363905498448,0.314537521055009,1.72736481617417,2.89018192771084,4.29763804779746,2.98823226503101,3
7915025,9.5004,1963,0.338888888888889,0.954906291834003,1.47788606808185,0.914856423782342,3.21958,9.07199173493976,14.0405088012048,8.69150196850176,4
7915025,9.5004,1963,0.250899437413335,0.681150846557087,1.27713310580205,0.761315531890843,2.38364501520165,6.47120550263095,12.1332753583618,7.23280207917576,5
7915025,9.5004,1963,0.169040145827846,0.455186235492645,1.1483338752843,0.613524578888974,1.60594900142287,4.32445131167433,10.9096311487509,5.82872890927681,6
7915025,9.5004,1963,0.0292862195717094,0.111522946031685,0.446274509803922,0.227988744548252,0.278230800419068,1.05951259647942,4.23978635294118,2.16598426870622,7
7915025,9.5004,1963,0.0178571428571428,0.0570208728652752,0.12,0.0655601522399916,0.16965,0.54172110056926,1.140048,0.622847670340817,8
7915025,9.5004,1963,0.018824475512147,0.0566690178529533,0.143360165118679,0.0703318706412175,0.178840047155601,0.538378337210197,1.3619789126935,0.668180903839823,9
7915025,9.5004,1963,0.0311285552063438,0.0576998763808725,0.108760078387458,0.0736406399891483,0.295733725882348,0.548171905568842,1.03326424871221,0.699615536152905,10
7915025,9.5004,1963,0.0565610939724046,0.0917286082257422,0.164830630043686,0.103551846519439,0.537353017175433,0.871458469587842,1.56595691766703,0.983783962673282,11
7915025,9.5004,1963,0.0442456060470273,0.0779911087502296,0.173333333333333,0.101086097679327,0.420350955689178,0.740946729570682,1.646736,0.960358362392677,12
7915025,9.5004,1964,0.0462826528071679,0.0854470838124242,0.247101967532872,0.122166700378063,0.439703714729218,0.811781475051555,2.34756753234929,1.16063252027175,1
7915025,9.5004,1964,0.0505072895063015,0.102516199728547,0.28279849667534,0.137098807925406,0.479839453225667,0.973944903901087,2.6866988378144,1.30249351481452,2
7915025,9.5004,1964,0.100809482509396,0.17672848690353,0.305972696245734,0.202739833450548,0.957730407632263,1.6789913169783,2.90686300341297,1.92610951371359,3
7915025,9.5004,1964,0.146907889368194,0.493504891833708,1.15981124497992,0.619535145948836,1.39568371215359,4.68849387437696,11.0186707518072,5.88583170057232,4
7915025,9.5004,1964,0.0816087524062675,0.351991420304999,0.768542169307998,0.429887438785345,0.775315791360504,3.34405928946561,7.3014580252937,4.0841026234363,5
7915025,9.5004,1964,0.199318592624995,0.509113894741139,1.70551009173188,0.774130752937566,1.8936063573745,4.83678564559871,16.2030280754896,7.35455180520806,6
7915025,9.5004,1964,0.0224329301514656,0.102162239682663,0.380230672337644,0.210264867568727,0.213121809610984,0.970582141881173,3.61234347947656,1.99760034784994,7
7915025,9.5004,1964,0.0143952730754241,0.0495633732251221,0.117333333333333,0.0603272025178667,0.136760852325759,0.47087187098795,1.1147136,0.573132554800741,8
7915025,9.5004,1964,0.0136044303797469,0.0466599048987842,0.121293921443086,0.0631416104657499,0.129247530379747,0.44328776050041,1.1523407712779,0.599870556068811,9
7915025,9.5004,1964,0.0200803212851407,0.047187901649965,0.100061919504644,0.0637115052929483,0.190771084337351,0.448303940835328,0.95062826006192,0.605284784885126,10
7915025,9.5004,1964,0.0437216190406875,0.0641048242140855,0.155149152180108,0.0832190289464643,0.415372869534148,0.609021471963498,1.4739790053719,0.790614062602989,11
7915025,9.5004,1964,0.104083812978002,0.854740487734412,1.61352074966533,0.783868640704561,0.98883785681621,8.12037652967201,15.3290925301205,7.44706563414961,12
7915025,9.5004,1965,0.0993929066962113,0.324640633379201,0.648862115127175,0.353683694526187,0.944272370776686,3.08421587335576,6.16444963855422,3.36013657147658,1
7915025,9.5004,1965,0.114778388268718,0.302674183289968,0.500066934404284,0.318473974228039,1.09044059990813,2.87552581092801,4.75083590361446,3.02563014475606,2
